title,price,delivery_charges,rating,url
"Samsung Galaxy M30s (Blue, 6GB RAM, 128GB Storage)","₹14,999",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/gp/bestsellers/electronics/1805560031/ref=sr_bs_0_1805560031_1
"Samsung Galaxy M30s (Blue, 4GB RAM, 64GB Storage)","₹12,999",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Test-Exclusive-628/dp/B07HGMQX6N/ref=sr_1_2?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-2
"Samsung Galaxy M30s (Opal Black, 6GB RAM, 128GB Storage)","₹14,999",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Test-Exclusive-632/dp/B07HGJK54G/ref=sr_1_3?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-3
"Samsung Galaxy M30s (Opal Black, 4GB RAM, 64GB Storage)","₹12,999",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Test-Exclusive-629/dp/B07HGLB1TJ/ref=sr_1_4?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-4
"Vivo U20 (Blazing Blue, Snapdragon 675 AIE, 4GB RAM, 64GB Storage)","₹10,990",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Vivo-Blazing-Blue-Snapdragon-Storage/dp/B081RTYX3M/ref=sr_1_5?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-5
"Redmi Note 8 (Neptune Blue, 6GB RAM, 128GB Storage) - Upto 6 Months No Cost EMI","₹12,999",FREE Delivery by Amazon,4.3 out of 5 stars,https://www.amazon.in/Redmi-Note-Neptune-128GB-Storage/dp/B07X1KT6LF/ref=sr_1_6?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-6
"Redmi Note 8 Pro (Electric Blue, 6GB RAM, 64GB Storage with Helio G90T Processor) - Upto 6 Months No Cost EMI","₹14,999",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Redmi-Note-Pro-Electric-Processor/dp/B07X2KLYSF/ref=sr_1_7?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-7
"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 64GB Storage with Helio G90T Processor) - Upto 6 Months No Cost EMI","₹14,999",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/dp/B07X4PXKZQ/ref=sr_1_8?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-8
"Redmi Note 8 Pro (Halo White, 6GB RAM, 64GB Storage with Helio G90T Processor) - Upto 6 Months No Cost EMI","₹14,999",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/dp/B07X1KT6LW/ref=sr_1_9?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-9
"Samsung Galaxy M30 (Gradation Blue, 4GB RAM, Super AMOLED Display, 64GB Storage, 5000mAH Battery)","₹11,999",FREE Delivery by Amazon,4.2 out of 5 stars,https://www.amazon.in/Samsung-Galaxy-M30-Gradation-Blue/dp/B07HGJJ58K/ref=sr_1_10?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-10
"Vivo U20 (Blazing Blue, Snapdragon 675 AIE, 6GB RAM, 64GB","₹11,990",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Vivo-Blazing-Blue-Snapdragon-64GB/dp/B081RTYX3L/ref=sr_1_11?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-11
"Redmi Note 8 (Moonlight White, 6GB RAM, 128GB Storage) - Upto 6 Months No Cost EMI","₹12,999",FREE Delivery by Amazon,4.3 out of 5 stars,https://www.amazon.in/Redmi-Note-Moonlight-White-Storage/dp/B07X1KSP7N/ref=sr_1_12?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-12
"Redmi Note 8 Pro (Shadow Black, 6GB RAM, 64GB Storage with Helio G90T Processor) - Upto 6 Months No Cost EMI","₹14,999",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/dp/B07X3NZZJ1/ref=sr_1_13?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-13
"Samsung Galaxy M30s (White, 4GB RAM, 64GB Storage)","₹12,999",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Test-Exclusive-627/dp/B07HGJKDQT/ref=sr_1_14?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-14
"Redmi Note 8 (Space Black, 6GB RAM, 128GB Storage) - Upto 6 Months No Cost EMI","₹12,999",FREE Delivery by Amazon,4.3 out of 5 stars,https://www.amazon.in/Redmi-Note-Space-Black-Storage/dp/B07X2KFN9F/ref=sr_1_15?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-15
"Redmi Note 8 (Cosmic Purple, 6GB RAM, 128GB Storage) - Upto 6 Months No Cost EMI","₹12,999",FREE Delivery by Amazon,4.3 out of 5 stars,https://www.amazon.in/Redmi-Note-Cosmic-Purple-Storage/dp/B07X2KLKRT/ref=sr_1_16?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-16
"Samsung Galaxy M20 (Ocean Blue , 4GB RAM, 64GB Storage, 5000mAH Battery)","₹10,499",FREE Delivery by Amazon,4.0 out of 5 stars,https://www.amazon.in/Samsung-Galaxy-Ocean-Blue-64GB/dp/B07HGH3G6H/ref=sr_1_17?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-17
"Vivo U20 (Racing Black, Snapdragon 675 AIE, 4GB RAM, 64GB Storage)","₹10,990",FREE Delivery by Amazon,4.4 out of 5 stars,https://www.amazon.in/Vivo-Racing-Black-Snapdragon-Storage/dp/B081RV8NB2/ref=sr_1_18?_encoding=UTF8&pf_rd_i=mobile&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=4246f34f-2496-41e7-b63f-e0088c6c9d0d&pf_rd_r=5MSBD5XB4SM35PTA5C44&pf_rd_s=center-1&pf_rd_t=Gateway&qid=1580732948&refinements=p_36%3A1000000-1500000&rnid=1318502031&s=electronics&sr=1-18
