brand,title,price,shipping_price,rating,url
Asus,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,259.99 ",$6.99 ,4,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-11g-gaming/p/N82E16814126080?Item=N82E16814126080
Gigabyte,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G 6GB 192-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,$299 ,$3.99 ,4,https://www.newegg.com/gigabyte-radeon-rx-5600-xt-gv-r56xtgaming-oc-6g/p/N82E16814932244?Item=N82E16814932244
Msi,MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$209.00 ,Free,5,https://www.newegg.com/msi-geforce-gtx-1660-gtx-1660-ventus-xs-6g-oc/p/N82E16814137400?Item=N82E16814137400
Evga,"EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate",$319 ,$3.99 ,4,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2068-kr/p/N82E16814487486?Item=N82E16814487486
Evga,"EVGA GeForce RTX 2080 SUPER XC ULTRA GAMING Video Card, 08G-P4-3183-KR, 8GB GDDR6, RGB LED, Metal Backplate",$759.00 ,$3.99 ,5,https://www.newegg.com/evga-geforce-rtx-2080-super-08g-p4-3183-kr/p/N82E16814487465?Item=N82E16814487465
Xfx,XFX Radeon RX 5600 XT DirectX 12 RX-56XT6DFD6 6GB 192-Bit GDDR6 PCI Express 4.0 Video Card,$299.99 ,$3.99 ,3,https://www.newegg.com/xfx-radeon-rx-5600-xt-rx-56xt6dfd6/p/N82E16814150833?Item=N82E16814150833
Sapphire Tech,"Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI), 100411P8GOCL",$189.00 ,Free,4,https://www.newegg.com/sapphire-radeon-rx-580-100411p8gocl/p/N82E16814202278?Item=N82E16814202278
Msi,MSI Radeon RX 5700 DirectX 12 RX 5700 EVOKE OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,$369 ,Free,4,https://www.newegg.com/msi-radeon-rx-5700-rx-5700-evoke-oc/p/N82E16814137467?Item=N82E16814137467
Xfx,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,$129 ,Free,4,https://www.newegg.com/xfx-radeon-rx-570-rx-570p427d6/p/N82E16814150795?Item=N82E16814150795
Gigabyte,"GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GD Video Card",$549 ,Free,5,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207sgaming-oc-8gd/p/N82E16814932212?Item=N82E16814932212
Asus,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),$139 ,Free,4,https://www.newegg.com/asus-radeon-rx-570-rog-strix-rx570-o4g-gaming/p/N82E16814126189?Item=N82E16814126189
Asrock,ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 4GO 4GB 128-Bit GDDR6 PCI Express 4.0 x8 HDCP Ready Video Card,$179.99 ,Free,4,https://www.newegg.com/asrock-radeon-rx-5500-xt-rx5500xt-cld-4go/p/N82E16814930026?Item=N82E16814930026
